IGPCV;DENOMINACION;PROVINCIA;MUNICIPIO;UTMESTE;UTMNORTE;CODCLASIFICACION;CLASIFICACION;CODCATEGORIA;CATEGORIA
"03.041-9999-000002";"Torre Defensiva de la Casa  del Tros de les Calcides";"ALICANTE";"BENISSA";"4285880";"769816";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.041-9999-000003";"Lonja de Contratación";"ALICANTE";"BENISSA";"4289698";"765347";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.043-9999-000001";"Castillo y Murallas de Biar";"ALICANTE";"BIAR";"4278235";"694576";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.043-9999-000004";"Iglesia Parroquial de Nuestra Señora de la Asunción";"ALICANTE";"BIAR";"4278086";"694447";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.043-9999-000081";"Campana la Tercera de la parroquia de la Asunción de Biar";"ALICANTE";"BIAR";;;2;"Bienes muebles 1ª";18;"Individual (mueble)"
"03.045-9999-000004";"Castillo de Garx";"ALICANTE";"BOLULLA";"4286948";"749906";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.046-9999-000001";"Torre de Busot";"ALICANTE";"BUSOT";"4263259";"727291";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.046-9999-000002";"Castillo de Busot";"ALICANTE";"BUSOT";"4262845";"725280";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.047-9999-000001";"Recinto Amurallado de la Villa Medieval de Ifach";"ALICANTE";"CALP";"4281166";"767587";1;"Bienes inmuebles 1ª";4;"Monumento"
"03.047-9999-000002";"Torre del Castellet";"ALICANTE";"CALP";"4280901";"761913";1;"Bienes inmuebles 1ª";4;"Monumento"
